,Unnamed: 0,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent
2,seed_2,91.96181420546384,18.07479685046024,67.68,15.44,5.04,1.36,25,360,500,1.0
3,seed_3,85.59141549360633,18.045380182988687,66.56,15.68,5.36,1.44,25,360,500,1.0
4,seed_4,81.02571522380843,18.48237709157421,72.72,20.56,7.04,2.48,25,360,500,1.0
5,seed_5,87.0762908992003,18.24407166017783,60.4,12.4,3.92,1.44,25,360,500,1.0
6,seed_6,83.22128395196113,18.164162102147635,57.92,13.28,5.44,2.48,25,360,500,1.0
7,seed_7,85.50935055081305,18.54015822220077,60.8,14.8,3.52,1.28,25,360,500,1.0
8,seed_8,84.17419705733866,18.004588708985832,68.96,17.76,8.4,1.44,25,360,500,1.0
9,seed_9,90.16882973198813,17.995713176886202,68.24,17.04,6.56,2.08,25,360,500,1.0
10,seed_10,87.75957315538892,18.24865305763782,58.24,12.88,6.08,2.08,25,360,500,1.0
11,seed_11,87.79560356799333,18.573398378697497,74.96,15.44,5.36,0.88,25,360,500,1.0
12,seed_12,85.2402733822505,17.544494550247492,60.8,17.76,6.64,1.6,25,360,500,1.0
13,seed_13,91.04940730007448,18.41801669581031,69.28,15.52,6.32,1.92,25,360,500,1.0
14,seed_14,82.80946304982471,18.2924314430028,57.52,12.8,3.6,0.96,25,360,500,1.0
15,seed_15,86.6833490489117,18.552629652494574,75.2,20.88,6.16,0.88,25,360,500,1.0
16,seed_16,80.35044202869149,18.337885630309295,63.84,13.28,4.16,0.88,25,360,500,1.0
17,seed_17,84.25014760919389,18.326652519411425,63.92,14.64,5.36,1.12,25,360,500,1.0
18,seed_18,97.03326368671088,18.31443214849857,92.64,21.68,7.36,2.08,25,360,500,1.0
19,seed_19,87.53748546066235,18.18284657396943,56.56,14.32,3.68,0.96,25,360,500,1.0
